SNAM,NLAYERS,Impervious,Depth,Drained,SOL_Z1,SAND1,SILT1,CLAY1,SOL_CBN1,SOL_Z2,SAND2,SILT2,CLAY2,SOL_CBN2,SOL_Z3,SAND3,SILT3,CLAY3,SOL_CBN3
LS3_LS3_SL4_2_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,75.81,20.2633333333333,3.92666666666667,1.63372093023256,750,75.81,20.2633333333333,3.92666666666667,0.813953488372093,1500,60.4665625,27.8421875,11.69125,0.151162790697674
S3_S1_SL3_4_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,87.31,10.0364285714286,2.65357142857143,0.831395348837209,750,95.3925,3.457,1.1505,0.412790697674419,1500,62.54046875,25.393125,12.06640625,0.0755813953488372
Tn_Tn_S1_6_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,0,0,80,11.6279069767442,750,0,0,80,5.81395348837209,1500,95.3925,3.457,1.1505,1.16279069767442
S3_S3_L_4_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,87.31,10.0364285714286,2.65357142857143,0.831395348837209,750,87.31,10.0364285714286,2.65357142857143,0.412790697674419,1500,52.3246428571429,29.4485714285714,18.2267857142857,0.0755813953488372
LS2_S3_S3_3_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,80.7141176470588,14.8405882352941,4.44529411764706,1.25581395348837,750,87.31,10.0364285714286,2.65357142857143,0.627906976744186,1500,87.31,10.0364285714286,2.65357142857143,0.116279069767442
S3_S3_S3_8_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,87.31,10.0364285714286,2.65357142857143,5.81395348837209,750,87.31,10.0364285714286,2.65357142857143,2.90697674418605,1500,87.31,10.0364285714286,2.65357142857143,0.581395348837209
SL2_SL2_S1_3_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,71.7466666666667,22.1427777777778,6.11055555555556,1.25581395348837,750,71.7466666666667,22.1427777777778,6.11055555555556,0.627906976744186,1500,95.3925,3.457,1.1505,0.116279069767442
S3_S3_S1_5_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,87.31,10.0364285714286,2.65357142857143,0.627906976744186,750,87.31,10.0364285714286,2.65357142857143,0.313953488372093,1500,95.3925,3.457,1.1505,0.0581395348837209
SL3_L_L_5_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,62.54046875,25.393125,12.06640625,0.627906976744186,750,52.3246428571429,29.4485714285714,18.2267857142857,0.313953488372093,1500,52.3246428571429,29.4485714285714,18.2267857142857,0.0581395348837209
SL4_SL4_SL4_5_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,60.4665625,27.8421875,11.69125,0.627906976744186,750,60.4665625,27.8421875,11.69125,0.313953488372093,1500,60.4665625,27.8421875,11.69125,0.0581395348837209
SL1_SL1_SL3_5_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,74.5211111111111,19.615,5.86388888888889,0.627906976744186,750,74.5211111111111,19.615,5.86388888888889,0.313953488372093,1500,62.54046875,25.393125,12.06640625,0.0581395348837209
SL2_SL4_SL4_5_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,71.7466666666667,22.1427777777778,6.11055555555556,0.627906976744186,750,60.4665625,27.8421875,11.69125,0.313953488372093,1500,60.4665625,27.8421875,11.69125,0.0581395348837209
LS2_LS2_SL3_5_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,80.7141176470588,14.8405882352941,4.44529411764706,0.627906976744186,750,80.7141176470588,14.8405882352941,4.44529411764706,0.313953488372093,1500,62.54046875,25.393125,12.06640625,0.0581395348837209
SL1_L_L_5_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,74.5211111111111,19.615,5.86388888888889,0.627906976744186,750,52.3246428571429,29.4485714285714,18.2267857142857,0.313953488372093,1500,52.3246428571429,29.4485714285714,18.2267857142857,0.0581395348837209
SL2_SL3_SL3_5_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,71.7466666666667,22.1427777777778,6.11055555555556,0.627906976744186,750,62.54046875,25.393125,12.06640625,0.313953488372093,1500,62.54046875,25.393125,12.06640625,0.0581395348837209
SL2_SL2_SL3_5_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,71.7466666666667,22.1427777777778,6.11055555555556,0.627906976744186,750,71.7466666666667,22.1427777777778,6.11055555555556,0.313953488372093,1500,62.54046875,25.393125,12.06640625,0.0581395348837209
SL1_SL3_SL3_5_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,74.5211111111111,19.615,5.86388888888889,0.627906976744186,750,62.54046875,25.393125,12.06640625,0.313953488372093,1500,62.54046875,25.393125,12.06640625,0.0581395348837209
S3_S3_S3_5_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,87.31,10.0364285714286,2.65357142857143,0.627906976744186,750,87.31,10.0364285714286,2.65357142857143,0.313953488372093,1500,87.31,10.0364285714286,2.65357142857143,0.0581395348837209
S1_S1_S1_2_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,95.3925,3.457,1.1505,1.63372093023256,750,95.3925,3.457,1.1505,0.813953488372093,1500,95.3925,3.457,1.1505,0.151162790697674
SL3_SL3_L_3_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,62.54046875,25.393125,12.06640625,1.25581395348837,750,62.54046875,25.393125,12.06640625,0.627906976744186,1500,52.3246428571429,29.4485714285714,18.2267857142857,0.116279069767442
SL4_SL4_SL4_2_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,60.4665625,27.8421875,11.69125,1.63372093023256,750,60.4665625,27.8421875,11.69125,0.813953488372093,1500,60.4665625,27.8421875,11.69125,0.151162790697674
LS2_LS2_SL4_2_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,80.7141176470588,14.8405882352941,4.44529411764706,1.63372093023256,750,80.7141176470588,14.8405882352941,4.44529411764706,0.813953488372093,1500,60.4665625,27.8421875,11.69125,0.151162790697674
SL2_SL3_SL3_3_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,71.7466666666667,22.1427777777778,6.11055555555556,1.25581395348837,750,62.54046875,25.393125,12.06640625,0.627906976744186,1500,62.54046875,25.393125,12.06640625,0.116279069767442
S3_S3_S3_4_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,87.31,10.0364285714286,2.65357142857143,0.831395348837209,750,87.31,10.0364285714286,2.65357142857143,0.412790697674419,1500,87.31,10.0364285714286,2.65357142857143,0.0755813953488372
SL1_LS2_SL3_5_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,74.5211111111111,19.615,5.86388888888889,0.627906976744186,750,80.7141176470588,14.8405882352941,4.44529411764706,0.313953488372093,1500,62.54046875,25.393125,12.06640625,0.0581395348837209
SL1_LS2_SL3_3_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,74.5211111111111,19.615,5.86388888888889,1.25581395348837,750,80.7141176470588,14.8405882352941,4.44529411764706,0.627906976744186,1500,62.54046875,25.393125,12.06640625,0.116279069767442
LS2_LS2_S3_2_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,80.7141176470588,14.8405882352941,4.44529411764706,1.63372093023256,750,80.7141176470588,14.8405882352941,4.44529411764706,0.813953488372093,1500,87.31,10.0364285714286,2.65357142857143,0.151162790697674
